"filename", "language", "CSS", "HTML", "TypeScript", "XML", "comment", "blank", "total"
"c:\projects\shopApp3\src\app\modules\admin\pages\pos-items\pages\create-pos-item\create-pos-item.component.ts", "TypeScript", 0, 0, 8, 0, 0, 2, 10
"c:\projects\shopApp3\src\app\modules\admin\pages\pos-items\pages\create-template\create-template.component.css", "CSS", 0, 0, 0, 0, 0, 1, 1
"c:\projects\shopApp3\src\app\modules\admin\pages\pos-items\pages\create-template\create-template.component.html", "HTML", 0, 24, 0, 0, 0, 0, 24
"c:\projects\shopApp3\src\app\modules\admin\pages\pos-items\pages\create-template\create-template.component.spec.ts", "TypeScript", 0, 0, 20, 0, 0, 6, 26
"c:\projects\shopApp3\src\app\modules\admin\pages\pos-items\pages\create-template\create-template.component.ts", "TypeScript", 0, 0, 34, 0, 0, 4, 38
"c:\projects\shopApp3\src\app\modules\admin\pages\pos-items\pos-items.component.css", "CSS", 0, 0, 0, 0, 0, 1, 1
"c:\projects\shopApp3\src\app\modules\admin\pages\pos-items\pos-items.component.html", "HTML", 0, 0, 0, 0, 0, 1, 1
"c:\projects\shopApp3\src\app\modules\admin\pages\pos-items\pos-items.component.spec.ts", "TypeScript", 0, 0, 20, 0, 0, 6, 26
"c:\projects\shopApp3\src\app\modules\admin\pages\pos-items\pos-items.component.ts", "TypeScript", 0, 0, 11, 0, 0, 6, 17
"c:\projects\shopApp3\src\app\modules\admin\pages\products\product-form\product-form.component.css", "CSS", 0, 0, 0, 0, 0, 1, 1
"c:\projects\shopApp3\src\app\modules\admin\pages\products\product-form\product-form.component.html", "HTML", 0, 17, 0, 0, 0, 1, 18
"c:\projects\shopApp3\src\app\modules\admin\pages\products\product-form\product-form.component.spec.ts", "TypeScript", 0, 0, 20, 0, 0, 6, 26
"c:\projects\shopApp3\src\app\modules\admin\pages\products\product-form\product-form.component.ts", "TypeScript", 0, 0, 76, 0, 0, 13, 89
"c:\projects\shopApp3\src\app\modules\admin\pages\products\product-list\product-list.component.css", "CSS", 0, 0, 0, 0, 0, 1, 1
"c:\projects\shopApp3\src\app\modules\admin\pages\products\product-list\product-list.component.html", "HTML", 0, 7, 0, 0, 0, 0, 7
"c:\projects\shopApp3\src\app\modules\admin\pages\products\product-list\product-list.component.spec.ts", "TypeScript", 0, 0, 20, 0, 0, 6, 26
"c:\projects\shopApp3\src\app\modules\admin\pages\products\product-list\product-list.component.ts", "TypeScript", 0, 0, 18, 0, 0, 6, 24
"c:\projects\shopApp3\src\app\modules\admin\pages\products\products.component.css", "CSS", 0, 0, 0, 0, 0, 1, 1
"c:\projects\shopApp3\src\app\modules\admin\pages\products\products.component.html", "HTML", 0, 8, 0, 0, 0, 0, 8
"c:\projects\shopApp3\src\app\modules\admin\pages\products\products.component.spec.ts", "TypeScript", 0, 0, 20, 0, 0, 6, 26
"c:\projects\shopApp3\src\app\modules\admin\pages\products\products.component.ts", "TypeScript", 0, 0, 11, 0, 0, 5, 16
"c:\projects\shopApp3\src\app\modules\cashbook\cashbook-routing.module.ts", "TypeScript", 0, 0, 15, 0, 0, 4, 19
"c:\projects\shopApp3\src\app\modules\cashbook\cashbook.component.css", "CSS", 0, 0, 0, 0, 0, 1, 1
"c:\projects\shopApp3\src\app\modules\cashbook\cashbook.component.html", "HTML", 0, 1, 0, 0, 0, 0, 1
"c:\projects\shopApp3\src\app\modules\cashbook\cashbook.component.spec.ts", "TypeScript", 0, 0, 20, 0, 0, 6, 26
"c:\projects\shopApp3\src\app\modules\cashbook\cashbook.component.ts", "TypeScript", 0, 0, 11, 0, 0, 5, 16
"c:\projects\shopApp3\src\app\modules\cashbook\cashbook.module.ts", "TypeScript", 0, 0, 20, 0, 0, 4, 24
"c:\projects\shopApp3\src\app\modules\cashbook\pages\list\list.component.css", "CSS", 0, 0, 0, 0, 0, 1, 1
"c:\projects\shopApp3\src\app\modules\cashbook\pages\list\list.component.html", "HTML", 0, 56, 0, 0, 0, 2, 58
"c:\projects\shopApp3\src\app\modules\cashbook\pages\list\list.component.spec.ts", "TypeScript", 0, 0, 20, 0, 0, 6, 26
"c:\projects\shopApp3\src\app\modules\cashbook\pages\list\list.component.ts", "TypeScript", 0, 0, 51, 0, 0, 10, 61
"c:\projects\shopApp3\src\app\modules\cashbook\pages\voucher-form\voucher-form.component.css", "CSS", 0, 0, 0, 0, 0, 1, 1
"c:\projects\shopApp3\src\app\modules\cashbook\pages\voucher-form\voucher-form.component.html", "HTML", 0, 39, 0, 0, 0, 1, 40
"c:\projects\shopApp3\src\app\modules\cashbook\pages\voucher-form\voucher-form.component.spec.ts", "TypeScript", 0, 0, 20, 0, 0, 6, 26
"c:\projects\shopApp3\src\app\modules\cashbook\pages\voucher-form\voucher-form.component.ts", "TypeScript", 0, 0, 121, 0, 0, 21, 142
"c:\projects\shopApp3\src\app\modules\core\core.module.ts", "TypeScript", 0, 0, 27, 0, 0, 2, 29
"c:\projects\shopApp3\src\app\modules\core\directives\dropdown\dropdown.directive.spec.ts", "TypeScript", 0, 0, 7, 0, 0, 2, 9
"c:\projects\shopApp3\src\app\modules\core\directives\dropdown\dropdown.directive.ts", "TypeScript", 0, 0, 17, 0, 0, 6, 23
"c:\projects\shopApp3\src\app\modules\core\pipe\search.pipe.ts", "TypeScript", 0, 0, 15, 0, 0, 2, 17
"c:\projects\shopApp3\src\app\modules\home\home-routing.module.ts", "TypeScript", 0, 0, 9, 0, 0, 3, 12
"c:\projects\shopApp3\src\app\modules\home\home.component.css", "CSS", 0, 0, 0, 0, 0, 1, 1
"c:\projects\shopApp3\src\app\modules\home\home.component.html", "HTML", 0, 1, 0, 0, 0, 1, 2
"c:\projects\shopApp3\src\app\modules\home\home.component.spec.ts", "TypeScript", 0, 0, 20, 0, 0, 6, 26
"c:\projects\shopApp3\src\app\modules\home\home.component.ts", "TypeScript", 0, 0, 11, 0, 0, 5, 16
"c:\projects\shopApp3\src\app\modules\home\home.module.ts", "TypeScript", 0, 0, 14, 0, 0, 4, 18
"c:\projects\shopApp3\src\app\modules\invoices\components\create-customer\create-customer.component.css", "CSS", 0, 0, 0, 0, 0, 1, 1
"c:\projects\shopApp3\src\app\modules\invoices\components\create-customer\create-customer.component.html", "HTML", 0, 13, 0, 0, 0, 2, 15
"c:\projects\shopApp3\src\app\modules\invoices\components\create-customer\create-customer.component.spec.ts", "TypeScript", 0, 0, 20, 0, 0, 6, 26
"c:\projects\shopApp3\src\app\modules\invoices\components\create-customer\create-customer.component.ts", "TypeScript", 0, 0, 42, 0, 0, 7, 49
"c:\projects\shopApp3\src\app\modules\invoices\components\list-customer\list-customer.component.css", "CSS", 0, 0, 0, 0, 0, 1, 1
"c:\projects\shopApp3\src\app\modules\invoices\components\list-customer\list-customer.component.html", "HTML", 0, 14, 0, 0, 0, 0, 14
"c:\projects\shopApp3\src\app\modules\invoices\components\list-customer\list-customer.component.spec.ts", "TypeScript", 0, 0, 20, 0, 0, 6, 26
"c:\projects\shopApp3\src\app\modules\invoices\components\list-customer\list-customer.component.ts", "TypeScript", 0, 0, 30, 0, 0, 6, 36
"c:\projects\shopApp3\src\app\modules\invoices\components\preview-invoice\preview-invoice.component.html", "HTML", 0, 77, 0, 0, 0, 0, 77
"c:\projects\shopApp3\src\app\modules\invoices\components\preview-invoice\preview-invoice.component.ts", "TypeScript", 0, 0, 27, 0, 0, 6, 33
"c:\projects\shopApp3\src\app\modules\invoices\invoices-routing.module.ts", "TypeScript", 0, 0, 25, 0, 0, 3, 28
"c:\projects\shopApp3\src\app\modules\invoices\invoices.component.css", "CSS", 0, 0, 0, 0, 0, 1, 1
"c:\projects\shopApp3\src\app\modules\invoices\invoices.component.html", "HTML", 0, 8, 0, 0, 0, 0, 8
"c:\projects\shopApp3\src\app\modules\invoices\invoices.component.spec.ts", "TypeScript", 0, 0, 20, 0, 0, 6, 26
"c:\projects\shopApp3\src\app\modules\invoices\invoices.component.ts", "TypeScript", 0, 0, 21, 0, 1, 5, 27
"c:\projects\shopApp3\src\app\modules\invoices\invoices.module.ts", "TypeScript", 0, 0, 37, 0, 0, 4, 41
"c:\projects\shopApp3\src\app\modules\invoices\pages\choose-payment-method\choose-payment-method.component.css", "CSS", 3, 0, 0, 0, 0, 0, 3
"c:\projects\shopApp3\src\app\modules\invoices\pages\choose-payment-method\choose-payment-method.component.html", "HTML", 0, 10, 0, 0, 0, 0, 10
"c:\projects\shopApp3\src\app\modules\invoices\pages\choose-payment-method\choose-payment-method.component.ts", "TypeScript", 0, 0, 38, 0, 0, 8, 46
